question_id,statement,mapped_human_label,models_matching_human_label,matching_model_count
74,"In return for crippling our economy , the Paris Agreement would do next to nothing to impact global temperatures .",faulty generalization,anthropic/claude-sonnet-4.5; x-ai_grok-4-fast,2
75,"There are no carbon emissions . If there were , we could not see because most carbon is black .",fallacy of logic,gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20,3
77,The failure of the 2007 polar bear survival model is a simple fact that explodes the myth that polar bears are on their way to extinction .,fallacy of logic,moonshotai/kimi-k2-thinking; openai/gpt-5,2
78,"In fact , human wellbeing has never been higher",intentional,gemini-pro-non; gemini-pro-thinking,2
80,Forget what global warming activists would lead you to believe – 2015 was not even close to the hottest year on record .,fallacy of relevance,gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b,6
82,The U.S. National Institutes of Health have documented how influenza is aided and abetted by cold climate . Any attempt to connect a warmer climate to an increase in Lyme Disease must be accompanied by an acknowledgement of a warmer climate ’ s propensity to reduce influenza incidence and mortality . The net impact of a warmer climate on viruses and diseases such as Lyme Disease and influenza is substantially beneficial and life-saving .,fallacy of relevance,gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking,4
83,"Over the ages , the subtle variations in the orbits of Earth and Mars , the scientists theorize , have impacted the amount of Earth 's exposure to solar radiation and thus led to shifts in global temperatures and impacting the pattern of Earth 's ice ages .",fallacy of relevance,openai/gpt-5; qwen_qwen3-235b-a22b-2507,2
84,"Next week he will be in Paris , a city terrorized yet again by mass murderers , for a summit with other world leaders on climate change , not terrorism .",fallacy of relevance,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,11
85,"Using terms such as `` battlefield , '' `` siege , '' and `` front , '' those opposed this `` war effort '' have been labeled anything from Nazis to Holocaust deniers . ( I personally have been called a sociopath by climate activist Joe Romm of the Center for American Progress , another story . )",ad hominem,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,13
85,"Using terms such as `` battlefield , '' `` siege , '' and `` front , '' those opposed this `` war effort '' have been labeled anything from Nazis to Holocaust deniers . ( I personally have been called a sociopath by climate activist Joe Romm of the Center for American Progress , another story . )",fallacy of relevance,gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking,3
86,The implications for climate change are obvious . “ The world that they ’ re going to be comfortable in is wildly different from the one that we feel comfortable in .,fallacy of relevance,gemini-flash-non; openai/gpt-5; qwen_qwen3-235b-a22b-2507,3
86,The implications for climate change are obvious . “ The world that they ’ re going to be comfortable in is wildly different from the one that we feel comfortable in .,faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; moonshotai/kimi-k2-thinking; openai/gpt-5; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,6
87,"As global warming pushes temperatures up , more people will die in heat waves ; a point emphasized by campaigners like UN climate chief , Christiana Figueres . What we don ’ t hear from her is that fewer people will die from cold .",fallacy of relevance,deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,8
88,"Ice melting in Greenland contributes more than a millimeter rise to sea level every year , and that 's likely to get worse .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,9
89,"But like most claims regarding global warming , the real effect is small , probably temporary , and most likely due to natural weather patterns .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,12
89,"But like most claims regarding global warming , the real effect is small , probably temporary , and most likely due to natural weather patterns .",faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
90,The fossil record shows that a thriving and diversification of plant and animal life occurs every time the atmosphere had a very high carbon dioxide content .,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
91,A record El Nino resulting in less-than-record temperatures is another sign that global warming is not all that activists crack it up to be .,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,12
92,"Ocean acidification will fry fish populations directly , too , though scientists aren ’ t yet sure how to predict the effects on the stuff we haul out of the ocean to eat ; they do know that in acid waters , oysters and mussels will struggle to grow their shells , and that when the pH of human blood drops as much as the oceans ’ pH has over the past generation , it induces seizures , comas , and sudden death .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10
93,"In fact , it seems that the less the climate
changes , the louder the voices of the climate alarmists get .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,13
94,"Rebounding ground can accelerate the ice cracking and falling away , which may be what happened with this new island that potentially emerged off the coast of Antarctica around 2010 .",false causality,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
95,"Yes , you read that correctly , three million — million — years ago CO2 levels on Earth were the same as they are today , but there is one major difference between three million years ago and today… Three million years ago , we humans were not driving cars or eating the meat that requires cow farts ; we weren ’ t barbecuing or refusing to recycle or building factories ; there was no Industrial Age , no plastic , no air conditioning , no electricity , no lumber mills , no consumerism , no aerosols . In fact , three million years ago , there were probably no human beings on Earth , at least not human in the way we use that term today . And yet…",fallacy of logic,x-ai/grok-4-fast-thinking,1
95,"Yes , you read that correctly , three million — million — years ago CO2 levels on Earth were the same as they are today , but there is one major difference between three million years ago and today… Three million years ago , we humans were not driving cars or eating the meat that requires cow farts ; we weren ’ t barbecuing or refusing to recycle or building factories ; there was no Industrial Age , no plastic , no air conditioning , no electricity , no lumber mills , no consumerism , no aerosols . In fact , three million years ago , there were probably no human beings on Earth , at least not human in the way we use that term today . And yet…",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
96,"The strongest heat wave ever recorded occurred in July 1936 , generating high temperatures in half of America ’ s 50 states . In 1935 , fossil fuel emissions were 25 times lower than today .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
97,"If anything , the past 50 years has been relatively quiet . There ’ s no trend in hurricane-related flooding in the U.S .",false causality,gemini-flash-thinking; openai/gpt-4o-2024-11-20; qwen_qwen3-235b-a22b-2507,3
98,"Will they be held legally responsible when floods do occur ? A strict policy could force some people from their homes . Conversely , should public money be spent to do the work , even if it largely benefits private property ?",false dilemma,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
99,America is poised to become a net energy exporter over the next decade . We should not abandon that progress at the cost of weakening our energy renaissance and crippling economic growth .,false dilemma,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,12
100,"Global warming is not even the obvious top environmental threat . Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide .",false dilemma,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,11
101,Carbon dioxide is plant food . It is neither a pollutant nor a toxin .,false dilemma,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,12
102,The result : our economic output would lag while other countries continued to expand their GDPs .,false dilemma,gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20,4
103,"If it ’ s science , it isn ’ t consensus .",false dilemma,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
104,"The 3 scientists argue that even if the planet warms by 5 degrees , humans can adjust .",false dilemma,openai/gpt-oss-120b; x-ai_grok-4-fast,2
105,What we do now will determine how quickly Pine Island and Thwaites collapse .,false dilemma,gemini-pro-non,1
106,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weather—which is almost everywhere .",intentional,anthropic/claude-sonnet-4.5,1
108,"Ramping up wind power to 10 , 20 , or 30 % of U.S. electricity production would likely increase annual bat kills to 10-to-30 million every year .",faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
109,"Much of recent global warming has been fabricated by climate scientists to make it look more frightening , a study has found .",fallacy of credibility,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-flash-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10
109,"Much of recent global warming has been fabricated by climate scientists to make it look more frightening , a study has found .",faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,10
110,"If the atmosphere comprised 85,000 molecules , the total carbon dioxide emissions added annually would be 33 molecules , of which only one molecule would be from human emissions and the other 32 from natural emissions .",faulty generalization,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,8
111,"The impact of humans on Earth is unparalleled , with scientists arguing our actions have tipped the planet into a new era - the Anthropocene - with fallout from nuclear bombs now written into the rocks beneath our feet , and species facing extinction at 1,000 times the usual rate .",faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,10
112,"But as the pathbreaking work by Rosamond Naylor and David Battisti has shown , the tropics are already too hot to efficiently grow grain , and those places where grain is produced today are already at optimal growing temperature — which means even a small warming will push them down the slope of declining productivity .",faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,12
113,"The analysis , published by the Breakthrough National Centre for Climate Restoration , a think-tank in Melbourne , Australia , describes climate change as “ a near- to mid-term existential threat to human civilization ” and sets out a plausible scenario of where business-as-usual could lead over the next 30 years .",faulty generalization,moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,4
115,"Two years ago , a polar bear made it to the Summit Station , which was unusual since polar bears live in coastal regions where they can easily find food .",faulty generalization,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,8
116,"He found convincing evidence that climate change was not leading to higher rates of weather-related damages worldwide , once you correct for increasing population and wealth .",faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,9
117,"All in all , it ’ s bad news for Florida ’ s near-future , which is set to be underwater faster than anyone has previously estimated .",appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking,12
117,"All in all , it ’ s bad news for Florida ’ s near-future , which is set to be underwater faster than anyone has previously estimated .",faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,10
118,"Severe storms , floods and agricultural losses may cost a great deal of money , but such extreme weather events – and their resulting costs – are dramatically declining as the Earth modestly warms . Accordingly , EDF ’ s asserted economic costs are actually economic benefits .",intentional,gemini-pro-non,1
119,Scientists are also expecting a “ huge reduction ” in solar activity for 33 years between 2020 and 2053 that will cause thermometers to crash .,intentional,moonshotai/kimi-k2-thinking,1
122,President Trump has claimed that scientists stopped referring to global warming and started calling it climate change because “ the weather has been so cold ” in winter .,fallacy of relevance,gemini-flash-non; gemini-flash-thinking; openai/gpt-oss-120b,3
122,President Trump has claimed that scientists stopped referring to global warming and started calling it climate change because “ the weather has been so cold ” in winter .,intentional,anthropic/claude-sonnet-4.5; gemini-flash-non,2
125,"On our current trajectory , the report warns , “ planetary and human systems [ are ] reaching a ‘ point of no return ’ by mid-century , in which the prospect of a largely uninhabitable Earth leads to the breakdown of nations and the international order . ”",appeal to emotion,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,12
127,"Just as in Gore ’ s movie An Inconvenient Truth , weather disasters that have always occurred have been repurposed to support the climate change narrative , with the claim those disasters are getting worse .",intentional,gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking,3
