question_id,statement,no_fallacy_label,lean4_status,models_supporting_no_fallacy,supporting_model_count
2,"Unfortunately for the doom-mongers , we sceptics have just received some heavy fire-support from a neutral authority .",no_fallacy,no_pass,moonshotai/kimi-k2-thinking,1
8,"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",no_fallacy,no_pass,deepseek/deepseek-r1; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,3
12,"Nor is there evidence of an increase in floods globally . Since 1965 , more parts of the U.S. have seen a decrease in flooding than have seen an increase . And from 1940 to today , flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent .",no_fallacy,no_pass,deepseek/deepseek-chat-v3.1,1
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",no_fallacy,no_pass,deepseek/deepseek-chat-v3.1,1
24,By the time I get to Australia to see it the whole bloody lot will have dissolved . ’,no_fallacy,no_pass,deepseek/deepseek-chat-v3.1; openai/gpt-4o-2024-11-20; x-ai/grok-4-fast-thinking,3
27,"“ It ’ s sobering to think of this magnificent landscape and how fundamentally it can change over a relatively short time period , ” he added .",no_fallacy,no_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; openai/gpt-4o-2024-11-20,5
28,"Even if we meet the Paris goals of two degrees warming , cities like Karachi and Kolkata will become close to uninhabitable , annually encountering deadly heat waves like those that crippled them in 2015 .",no_fallacy,no_pass,openai/gpt-oss-120b,1
30,"They live in a world where conditions are so extreme that fire seasons in the northern and southern hemispheres overlap , stretching resources at a time when they ’ re needed most .",no_fallacy,no_pass,anthropic/claude-sonnet-4.5; moonshotai/kimi-k2-thinking; x-ai/grok-4-fast-thinking,3
37,“ Why do we keep getting so many record-warm years ? ” Dr. Schmidt asked in an interview . “ It ’ s because the planet is warming .,no_fallacy,no_pass,x-ai/grok-4-fast-thinking,1
42,"In addition , it said , the United States along with Bangladesh , China , Egypt , India , Indonesia , Japan , the Philippines and Vietnam are home to 50 million people who will be exposed to the effects of increased coastal flooding by 2040 , if 2.7 degrees of warming occur .",no_fallacy,no_pass,deepseek/deepseek-chat-v3.1; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking,3
43,"Legates interjects , “ Yes , the water has been rising for approximately 20,000 years . ”",no_fallacy,no_pass,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; moonshotai/kimi-k2-thinking,3
46,"No one and nothing would experience it directly since we all live in regions , not the globe .",no_fallacy,no_pass,moonshotai/kimi-k2-thinking,1
51,"One reason that the 2007 predictions of future polar bear survival were so far off base is that the model developed by American biologist Steven Amstrup ( now at Polar Bears International , an NGO ) assumed any polar bear population decline would be caused by less summer ice , despite the Beaufort Sea experience .",no_fallacy,no_pass,deepseek/deepseek-chat-v3.1,1
54,History advises us to welcome warmth and fear cold .,no_fallacy,no_pass,deepseek/deepseek-chat-v3.1,1
55,"The former president ’ s decision created a ticking time bomb , Zybach argues .
“",no_fallacy,no_pass,moonshotai/kimi-k2-thinking,1
56,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .",no_fallacy,no_pass,deepseek/deepseek-r1; x-ai/grok-4-fast-thinking,2
57,"Even the modern godfather of global warming , ex-NASA Goddard Institute for Space Studies director James Hansen , has admitted that the Paris climate agreement is “ a fraud really , a fake. ”",no_fallacy,no_pass,deepseek/deepseek-r1,1
60,"The record comes two days before Donald Trump , who has tweeted that global warming is a “ hoax , ” assumes the presidency and , with it , control over the two science agencies that announced these records .",no_fallacy,no_pass,moonshotai/kimi-k2-thinking,1
61,"If barren ecosystems constitute an ideal planet , then the alarmist fears of more plant life make sense . On the contrary , global warming realists understand a climate more conducive to richer , more abundant plant life is beneficial rather than harmful .",no_fallacy,no_pass,moonshotai/kimi-k2-thinking,1
69,"The simple fact is , humans know very little about the climate cycles of our world .",no_fallacy,no_pass,x-ai/grok-4-fast-thinking,1
72,"“ Even for 2°C of warming , more than a billion people may need to be relocated and in high-end scenarios , the scale of destruction is beyond our capacity to model with a high likelihood of human civilization coming to an end , ” the report notes .",no_fallacy,no_pass,qwen/qwen3-235b-a22b-thinking-2507,1
73,There ’ s very strange things going on on planet Earth right now . ”,no_fallacy,no_pass,gemini-flash-non; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,4
74,"In return for crippling our economy , the Paris Agreement would do next to nothing to impact global temperatures .",no_fallacy,no_pass,openai/gpt-4o-2024-11-20,1
78,"In fact , human wellbeing has never been higher",no_fallacy,no_pass,deepseek/deepseek-chat-v3.1,1
83,"Over the ages , the subtle variations in the orbits of Earth and Mars , the scientists theorize , have impacted the amount of Earth 's exposure to solar radiation and thus led to shifts in global temperatures and impacting the pattern of Earth 's ice ages .",no_fallacy,no_pass,anthropic/claude-sonnet-4.5; gemini-flash-non,2
86,The implications for climate change are obvious . “ The world that they ’ re going to be comfortable in is wildly different from the one that we feel comfortable in .,no_fallacy,no_pass,qwen/qwen3-235b-a22b-thinking-2507,1
88,"Ice melting in Greenland contributes more than a millimeter rise to sea level every year , and that 's likely to get worse .",no_fallacy,no_pass,gemini-flash-non; moonshotai/kimi-k2-thinking; openai/gpt-5; qwen_qwen3-235b-a22b-2507,4
92,"Ocean acidification will fry fish populations directly , too , though scientists aren ’ t yet sure how to predict the effects on the stuff we haul out of the ocean to eat ; they do know that in acid waters , oysters and mussels will struggle to grow their shells , and that when the pH of human blood drops as much as the oceans ’ pH has over the past generation , it induces seizures , comas , and sudden death .",no_fallacy,no_pass,deepseek/deepseek-r1,1
97,"If anything , the past 50 years has been relatively quiet . There ’ s no trend in hurricane-related flooding in the U.S .",no_fallacy,no_pass,deepseek/deepseek-r1,1
103,"If it ’ s science , it isn ’ t consensus .",no_fallacy,no_pass,moonshotai/kimi-k2-thinking,1
108,"Ramping up wind power to 10 , 20 , or 30 % of U.S. electricity production would likely increase annual bat kills to 10-to-30 million every year .",no_fallacy,no_pass,deepseek/deepseek-r1,1
112,"But as the pathbreaking work by Rosamond Naylor and David Battisti has shown , the tropics are already too hot to efficiently grow grain , and those places where grain is produced today are already at optimal growing temperature — which means even a small warming will push them down the slope of declining productivity .",no_fallacy,no_pass,qwen/qwen3-235b-a22b-thinking-2507,1
113,"The analysis , published by the Breakthrough National Centre for Climate Restoration , a think-tank in Melbourne , Australia , describes climate change as “ a near- to mid-term existential threat to human civilization ” and sets out a plausible scenario of where business-as-usual could lead over the next 30 years .",no_fallacy,no_pass,gemini-flash-non; openai/gpt-oss-120b,2
115,"Two years ago , a polar bear made it to the Summit Station , which was unusual since polar bears live in coastal regions where they can easily find food .",no_fallacy,no_pass,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,5
118,"Severe storms , floods and agricultural losses may cost a great deal of money , but such extreme weather events – and their resulting costs – are dramatically declining as the Earth modestly warms . Accordingly , EDF ’ s asserted economic costs are actually economic benefits .",no_fallacy,no_pass,deepseek/deepseek-r1,1
119,Scientists are also expecting a “ huge reduction ” in solar activity for 33 years between 2020 and 2053 that will cause thermometers to crash .,no_fallacy,no_pass,openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507,2
120,Ever since December temperatures in the Arctic have consistently been lower than minus 20 C.,no_fallacy,no_pass,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-thinking; openai/gpt-oss-120b,4
123,"As recently as 1995 , it was thought to be stable .",no_fallacy,no_pass,anthropic/claude-sonnet-4.5; gemini-flash-non; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,6
124,"Barrie now works for the Climate Change Institute at Australian National University , Canberra .",no_fallacy,no_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
125,"On our current trajectory , the report warns , “ planetary and human systems [ are ] reaching a ‘ point of no return ’ by mid-century , in which the prospect of a largely uninhabitable Earth leads to the breakdown of nations and the international order . ”",no_fallacy,no_pass,deepseek/deepseek-r1; openai/gpt-oss-120b,2
