question_id,statement,ground_truth,predicted_label,models_supporting_prediction,supporting_model_count
7,"He now says :  Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ","ad hominem, intentional",faulty generalization,gemini-pro-thinking,1
8," The Caitlin Expedition  supported by the Prince of Wales  in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they  d expected ,  he continued .",ad hominem,fallacy of relevance,gemini-pro-thinking,1
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,fallacy of extension,gemini-pro-non,1
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,faulty generalization,deepseek/deepseek-chat-v3.1,1
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,fallacy of extension,gemini-pro-non,1
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,fallacy of extension,gemini-pro-thinking,1
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,faulty generalization,anthropic/claude-sonnet-4.5; gemini-pro-thinking,2
22,"And since the biggest risk to humanity is poverty , if we allow policymakers to have their way , the resulting energy poverty will indeed cause the deaths of some of our children and grandchildren .",appeal to emotion,faulty generalization,qwen_qwen3-235b-a22b-2507,1
28,"Even if we meet the Paris goals of two degrees warming , cities like Karachi and Kolkata will become close to uninhabitable , annually encountering deadly heat waves like those that crippled them in 2015 .",appeal to emotion,faulty generalization,qwen/qwen3-235b-a22b-thinking-2507,1
30,"They live in a world where conditions are so extreme that fire seasons in the northern and southern hemispheres overlap , stretching resources at a time when they  re needed most .",appeal to emotion,faulty generalization,deepseek/deepseek-chat-v3.1; qwen_qwen3-235b-a22b-2507,2
31,"It should go without saying that if scientists can not yet make accurate predictions about future climate change , then their understanding of climate science remains highly incomplete .",circular reasoning,equivocation,gemini-pro-thinking,1
33,"Peatland fires in Indonesia in 1997 , for instance , added to the global CO2 release by up to 40 percent , and more burning only means more warming only means more burning .",circular reasoning,false causality,gemini-flash-non,1
34,"Instead of negotiating over climate change policies and trying to make them more market-oriented , some political conservatives have taken the approach of blocking them by trying to undermine the science .",circular reasoning,faulty generalization,gemini-pro-non,1
36," Fossil fuels don  t take a clean environment and make it dirty ,  noted Alex Epstein , `` they take a dirty environment and make it clean.  Fossil fuels , he adds ,  don  t take a safe climate and make it dangerous , they take a dangerous climate and make it safe . ",circular reasoning,equivocation,gemini-pro-non,1
39,"For some groups of close temperature measures ( and NASA and NOAA are dealing with thousands of very close temperatures ) , one method of calculating an average can lead to a determination of warming while another can lead to a conclusion of cooling .",equivocation,equivocation,moonshotai/kimi-k2-thinking,1
41,"Although alarmists frequently point to a modest recent shrinkage in the Arctic ice sheet , that decline has been completely offset by ice sheet expansion in the Antarctic . Cumulatively , polar ice sheets have not declined at all since NASA satellite instruments began precisely measuring them 35 years ago . Alarmist Assertion # 5",equivocation,faulty generalization,gemini-pro-non,1
42,"In addition , it said , the United States along with Bangladesh , China , Egypt , India , Indonesia , Japan , the Philippines and Vietnam are home to 50 million people who will be exposed to the effects of increased coastal flooding by 2040 , if 2.7 degrees of warming occur .",equivocation,faulty generalization,qwen/qwen3-235b-a22b-thinking-2507,1
44,"By  global warming  these papers don  t , of course , mean the mild warming of around 0.8 degrees Celsius that the planet has experienced since the middle of the 19th century as the world crawled out of the Little Ice Age .","equivocation, intentional",fallacy of relevance,gemini-pro-non,1
48,"The liberal media might take issue with a U.S. think tank funding a study that says global warming does n't exist -- or at least has n't for 19 years -- but they 'll accept the findings from little ol ' Denmark , wo n't they ?",fallacy of credibility,faulty generalization,x-ai/grok-4-fast-thinking,1
56,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .",fallacy of credibility,faulty generalization,gemini-pro-non,1
57,"Even the modern godfather of global warming , ex-NASA Goddard Institute for Space Studies director James Hansen , has admitted that the Paris climate agreement is  a fraud really , a fake. ",fallacy of credibility,equivocation,gemini-flash-thinking,1
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,"fallacy of extension, faulty generalization",faulty generalization,moonshotai/kimi-k2-thinking,1
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn  t matter .","fallacy of extension, intentional",appeal to emotion,gemini-flash-thinking,1
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn  t matter .","fallacy of extension, intentional",fallacy of extension,deepseek/deepseek-r1,1
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn  t matter .","fallacy of extension, intentional",faulty generalization,deepseek/deepseek-chat-v3.1; x-ai/grok-4-fast-thinking,2
67,"No genuine environmentalist could honestly support subsidised wind turbines that despoil the scenery , slice and dice birds and bats , damage human health and spread toxins .","appeal to emotion, fallacy of extension, intentional",ad hominem,gemini-pro-thinking,1
67,"No genuine environmentalist could honestly support subsidised wind turbines that despoil the scenery , slice and dice birds and bats , damage human health and spread toxins .","appeal to emotion, fallacy of extension, intentional",false dilemma,deepseek/deepseek-r1,1
68,"At six , according to an assessment focused only on effects within the U.S. from the National Oceanic and Atmospheric Administration , summer labor of any kind would become impossible in the lower Mississippi Valley , and everybody in the country east of the Rockies would be under more heat stress than anyone , anywhere , in the world today . As Joseph Romm has put it in his authoritative primer Climate Change : What Everyone Needs to Know , heat stress in New York City would exceed that of present-day Bahrain , one of the planet  s hottest spots , and the temperature in Bahrain  would induce hyperthermia in even sleeping humans. ",fallacy of logic,faulty generalization,gemini-pro-thinking,1
70,Global human emissions are only 3 per cent of total annual emissions . It has never been shown that human emissions of carbon dioxide drive global warming .,"fallacy of logic, faulty generalization",false causality,gemini-flash-non,1
74,"In return for crippling our economy , the Paris Agreement would do next to nothing to impact global temperatures .","fallacy of logic, faulty generalization",fallacy of relevance,qwen_qwen3-235b-a22b-2507,1
74,"In return for crippling our economy , the Paris Agreement would do next to nothing to impact global temperatures .","fallacy of logic, faulty generalization",false dilemma,deepseek/deepseek-r1,1
75,"There are no carbon emissions . If there were , we could not see because most carbon is black .",fallacy of logic,faulty generalization,x-ai_grok-4-fast,1
77,The failure of the 2007 polar bear survival model is a simple fact that explodes the myth that polar bears are on their way to extinction .,fallacy of logic,fallacy of extension,gemini-pro-thinking,1
77,The failure of the 2007 polar bear survival model is a simple fact that explodes the myth that polar bears are on their way to extinction .,fallacy of logic,false dilemma,gemini-pro-thinking,1
78,"In fact , human wellbeing has never been higher","fallacy of relevance, intentional",equivocation,gemini-pro-thinking,1
82,The U.S. National Institutes of Health have documented how influenza is aided and abetted by cold climate . Any attempt to connect a warmer climate to an increase in Lyme Disease must be accompanied by an acknowledgement of a warmer climate  s propensity to reduce influenza incidence and mortality . The net impact of a warmer climate on viruses and diseases such as Lyme Disease and influenza is substantially beneficial and life-saving .,fallacy of relevance,false causality,qwen/qwen3-235b-a22b-thinking-2507,1
85,"Using terms such as `` battlefield , '' `` siege , '' and `` front , '' those opposed this `` war effort '' have been labeled anything from Nazis to Holocaust deniers . ( I personally have been called a sociopath by climate activist Joe Romm of the Center for American Progress , another story . )","ad hominem, fallacy of relevance, intentional",ad hominem,x-ai_grok-4-fast,1
89,"But like most claims regarding global warming , the real effect is small , probably temporary , and most likely due to natural weather patterns .","false causality, faulty generalization",faulty generalization,moonshotai/kimi-k2-thinking,1
92,"Ocean acidification will fry fish populations directly , too , though scientists aren  t yet sure how to predict the effects on the stuff we haul out of the ocean to eat ; they do know that in acid waters , oysters and mussels will struggle to grow their shells , and that when the pH of human blood drops as much as the oceans  pH has over the past generation , it induces seizures , comas , and sudden death .",false causality,equivocation,qwen/qwen3-235b-a22b-thinking-2507,1
95,"Yes , you read that correctly , three million  million  years ago CO2 levels on Earth were the same as they are today , but there is one major difference between three million years ago and today Three million years ago , we humans were not driving cars or eating the meat that requires cow farts ; we weren  t barbecuing or refusing to recycle or building factories ; there was no Industrial Age , no plastic , no air conditioning , no electricity , no lumber mills , no consumerism , no aerosols . In fact , three million years ago , there were probably no human beings on Earth , at least not human in the way we use that term today . And yet","fallacy of logic, false causality",fallacy of extension,deepseek/deepseek-r1,1
99,America is poised to become a net energy exporter over the next decade . We should not abandon that progress at the cost of weakening our energy renaissance and crippling economic growth .,false dilemma,false causality,x-ai/grok-4-fast-thinking,1
99,America is poised to become a net energy exporter over the next decade . We should not abandon that progress at the cost of weakening our energy renaissance and crippling economic growth .,false dilemma,false dilemma,deepseek/deepseek-chat-v3.1,1
100,"Global warming is not even the obvious top environmental threat . Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide .",false dilemma,equivocation,qwen/qwen3-235b-a22b-thinking-2507,1
103,"If it  s science , it isn  t consensus .",false dilemma,equivocation,gemini-flash-thinking,1
106,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weatherwhich is almost everywhere .","false dilemma, intentional",equivocation,qwen/qwen3-235b-a22b-thinking-2507,1
106,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weatherwhich is almost everywhere .","false dilemma, intentional",false causality,deepseek/deepseek-chat-v3.1,1
115,"Two years ago , a polar bear made it to the Summit Station , which was unusual since polar bears live in coastal regions where they can easily find food .",faulty generalization,faulty generalization,gemini-pro-thinking,1
116,"He found convincing evidence that climate change was not leading to higher rates of weather-related damages worldwide , once you correct for increasing population and wealth .",faulty generalization,intentional,gemini-pro-non,1
