question_id,statement,mapped_human_label,models_matching_human_label_but_uncompilable,supporting_model_count,lean4_failure_statuses
11,"A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius .",ad populum,gemini-pro-non,1,lean_pass_with_type_error
22,"And since the biggest risk to humanity is poverty , if we allow policymakers to have their way , the resulting energy poverty will indeed cause the deaths of some of our children and grandchildren .",appeal to emotion,gemini-pro-non,1,lean_pass_with_type_error
23,” Britain ’ s most high-profile environmental group claimed “ Climate Change Kills Children . ”,appeal to emotion,gemini-pro-non,1,lean_pass_with_type_error
33,"Peatland fires in Indonesia in 1997 , for instance , added to the global CO2 release by up to 40 percent , and more burning only means more warming only means more burning .",circular reasoning,gemini-pro-thinking,1,lean_pass_with_type_error
39,"For some groups of close temperature measures ( and NASA and NOAA are dealing with thousands of very close temperatures ) , one method of calculating an average can lead to a determination of warming while another can lead to a conclusion of cooling .",equivocation,moonshotai/kimi-k2-thinking,1,no_pass
46,"No one and nothing would experience it directly since we all live in regions , not the globe .",equivocation,gemini-flash-thinking,1,lean_pass_with_type_error
48,"The liberal media might take issue with a U.S. think tank funding a study that says global warming does n't exist -- or at least has n't for 19 years -- but they 'll accept the findings from little ol ' Denmark , wo n't they ?",fallacy of credibility,gemini-flash-thinking,1,lean_pass_with_type_error
59,Shorten refuses to tell us how he will spend our money or to give any detail on energy ­systems that are proven failures .,fallacy of extension,openai/gpt-5,1,lean_pass_with_type_error
60,"The record comes two days before Donald Trump , who has tweeted that global warming is a “ hoax , ” assumes the presidency and , with it , control over the two science agencies that announced these records .",fallacy of extension,qwen_qwen3-235b-a22b-2507,1,lean_pass_with_type_error
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,faulty generalization,moonshotai/kimi-k2-thinking,1,no_pass
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn ’ t matter .",fallacy of extension,deepseek/deepseek-r1,1,no_pass
70,Global human emissions are only 3 per cent of total annual emissions . It has never been shown that human emissions of carbon dioxide drive global warming .,fallacy of logic,gemini-flash-thinking,1,lean_pass_with_type_error
74,"In return for crippling our economy , the Paris Agreement would do next to nothing to impact global temperatures .",faulty generalization,qwen_qwen3-235b-a22b-2507,1,lean_pass_with_type_error
75,"There are no carbon emissions . If there were , we could not see because most carbon is black .",fallacy of logic,anthropic/claude-sonnet-4.5,1,lean_pass_with_type_error
84,"Next week he will be in Paris , a city terrorized yet again by mass murderers , for a summit with other world leaders on climate change , not terrorism .",fallacy of relevance,gemini-flash-non,1,lean_pass_with_type_error
85,"Using terms such as `` battlefield , '' `` siege , '' and `` front , '' those opposed this `` war effort '' have been labeled anything from Nazis to Holocaust deniers . ( I personally have been called a sociopath by climate activist Joe Romm of the Center for American Progress , another story . )",ad hominem,x-ai_grok-4-fast,1,no_pass
86,The implications for climate change are obvious . “ The world that they ’ re going to be comfortable in is wildly different from the one that we feel comfortable in .,faulty generalization,deepseek/deepseek-chat-v3.1,1,lean_pass_with_type_error
89,"But like most claims regarding global warming , the real effect is small , probably temporary , and most likely due to natural weather patterns .",false causality,gemini-pro-non; moonshotai/kimi-k2-thinking,2,lean_pass_with_type_error
89,"But like most claims regarding global warming , the real effect is small , probably temporary , and most likely due to natural weather patterns .",faulty generalization,moonshotai/kimi-k2-thinking,1,no_pass
92,"Ocean acidification will fry fish populations directly , too , though scientists aren ’ t yet sure how to predict the effects on the stuff we haul out of the ocean to eat ; they do know that in acid waters , oysters and mussels will struggle to grow their shells , and that when the pH of human blood drops as much as the oceans ’ pH has over the past generation , it induces seizures , comas , and sudden death .",false causality,gemini-flash-non; qwen_qwen3-235b-a22b-2507,2,lean_pass_with_type_error
93,"In fact , it seems that the less the climate
changes , the louder the voices of the climate alarmists get .",false causality,x-ai_grok-4-fast,1,lean_pass_with_type_error
94,"Rebounding ground can accelerate the ice cracking and falling away , which may be what happened with this new island that potentially emerged off the coast of Antarctica around 2010 .",false causality,anthropic/claude-sonnet-4.5; gemini-flash-thinking,2,lean_pass_with_type_error
95,"Yes , you read that correctly , three million — million — years ago CO2 levels on Earth were the same as they are today , but there is one major difference between three million years ago and today… Three million years ago , we humans were not driving cars or eating the meat that requires cow farts ; we weren ’ t barbecuing or refusing to recycle or building factories ; there was no Industrial Age , no plastic , no air conditioning , no electricity , no lumber mills , no consumerism , no aerosols . In fact , three million years ago , there were probably no human beings on Earth , at least not human in the way we use that term today . And yet…",false causality,gemini-flash-thinking,1,lean_pass_with_type_error
98,"Will they be held legally responsible when floods do occur ? A strict policy could force some people from their homes . Conversely , should public money be spent to do the work , even if it largely benefits private property ?",false dilemma,gemini-flash-thinking,1,lean_pass_with_type_error
99,America is poised to become a net energy exporter over the next decade . We should not abandon that progress at the cost of weakening our energy renaissance and crippling economic growth .,false dilemma,deepseek/deepseek-chat-v3.1,1,no_pass
103,"If it ’ s science , it isn ’ t consensus .",false dilemma,gemini-pro-thinking,1,lean_pass_with_type_error
110,"If the atmosphere comprised 85,000 molecules , the total carbon dioxide emissions added annually would be 33 molecules , of which only one molecule would be from human emissions and the other 32 from natural emissions .",faulty generalization,x-ai/grok-4-fast-thinking,1,lean_pass_with_type_error
111,"The impact of humans on Earth is unparalleled , with scientists arguing our actions have tipped the planet into a new era - the Anthropocene - with fallout from nuclear bombs now written into the rocks beneath our feet , and species facing extinction at 1,000 times the usual rate .",faulty generalization,gemini-pro-non,1,lean_pass_with_type_error
112,"But as the pathbreaking work by Rosamond Naylor and David Battisti has shown , the tropics are already too hot to efficiently grow grain , and those places where grain is produced today are already at optimal growing temperature — which means even a small warming will push them down the slope of declining productivity .",faulty generalization,x-ai_grok-4-fast,1,lean_pass_with_type_error
115,"Two years ago , a polar bear made it to the Summit Station , which was unusual since polar bears live in coastal regions where they can easily find food .",faulty generalization,gemini-pro-thinking,1,no_pass
